original_link,section,link
https://www.hooktheory.com/theorytab/view/a-lin/a-kind-of-sorrow,bridge,https://hookpad.hooktheory.com?idOfSong=QLgnpJQ_o-V&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/absurd,verse,https://hookpad.hooktheory.com?idOfSong=DpgvYAqRmad&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/absurd,chorus,https://hookpad.hooktheory.com?idOfSong=RPxevAWAob_&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/absurd,bridge,https://hookpad.hooktheory.com?idOfSong=RzojbAqLoDe&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/best-friend,verse,https://hookpad.hooktheory.com?idOfSong=JkmZDyDJxqn&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/best-friend,chorus,https://hookpad.hooktheory.com?idOfSong=ZwxKDeDVoed&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/best-friend,bridge,https://hookpad.hooktheory.com?idOfSong=ROmNDbDzxNw&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/forget-love,verse,https://hookpad.hooktheory.com?idOfSong=JkmZDnGkxqn&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/forget-love,chorus,https://hookpad.hooktheory.com?idOfSong=veoYAYJzodn&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/forget-love,bridge,https://hookpad.hooktheory.com?idOfSong=ZOxVDYaAmdq&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/give-me-a-reason-to-forget,verse,https://hookpad.hooktheory.com?idOfSong=nLgaKDMBoYp&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/give-me-a-reason-to-forget,pre-chorus,https://hookpad.hooktheory.com?idOfSong=ZOxVqkeZgdq&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/give-me-a-reason-to-forget,chorus,https://hookpad.hooktheory.com?idOfSong=QLgnw_zpx-V&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/good-friends-blessing,verse,https://hookpad.hooktheory.com?idOfSong=zngRyvjAmJj&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/good-friends-blessing,chorus,https://hookpad.hooktheory.com?idOfSong=VMgJpJrkoqK&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/guilt,verse,https://hookpad.hooktheory.com?idOfSong=yvgPDarEgYq&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/guilt,chorus,https://hookpad.hooktheory.com?idOfSong=KexEDERvg_B&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/guilt,outro,https://hookpad.hooktheory.com?idOfSong=nLgapNGdmYp&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/lovelorn-not-guilty,verse,https://hookpad.hooktheory.com?idOfSong=yvmrZqnZmOW&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/lovelorn-not-guilty,chorus,https://hookpad.hooktheory.com?idOfSong=JNgqkRwrorz&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/more-than-sorrow,verse,https://hookpad.hooktheory.com?idOfSong=kwxAvvPQoKG&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lin/more-than-sorrow,chorus,https://hookpad.hooktheory.com?idOfSong=KexEDDEKg_B&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-love-like-pi/heavens-halberd,verse,https://hookpad.hooktheory.com?idOfSong=JNgqeNM-grz&amp;enableYouTube=false&amp;openBandEditorOnInit=true
